convocante_limpio,monto_promedio,frecuencia,prop_directa,diversidad_proveedores,cluster
Administración Nacional de Electricidad,55425129147.38221,607,0.17627677100494235,359,4
Administración Nacional de Navegación y Puertos,502541029.3367347,98,0.46938775510204084,68,0
Ag. Nac. de Eval. y Acreditación de la Educación Superior,71352847.03846154,52,0.9230769230769231,39,2
Agencia Financiera de Desarrollo,369271716.7241379,116,0.43103448275862066,67,0
Agencia Nacional de Transito y Seguridad Vial,174572485.72340426,47,0.6808510638297872,36,2
Auditoria General del Poder Ejecutivo,97293602.6875,16,0.875,13,2
Autoridad Reguladora Radiologica y Nuclear,37807333.333333336,3,1.0,3,2
Banco Central del Paraguay,1946948921.3319502,241,0.42323651452282157,141,1
Banco Nacional de Fomento,2261038643.4054055,259,0.2277992277992278,179,1
Caja de Jubilaciones y Pensiones de Empleados de Bancarios,4740863344.787234,47,0.5319148936170213,33,0
Caja de Jubilaciones y Pensiones del Personal Municipal,80734534.8108108,37,0.8108108108108109,31,2
Caja de Jubilaciones y Pensiones del Personal de la Ande,315326346.8611111,36,0.5,28,0
Caja de Seguridad Social de Empleados y Obreros Ferroviarios,265028166.66666666,6,0.3333333333333333,3,0
Cañas Paraguayas S.A.,2606811133.693548,62,0.3064516129032258,40,0
Centro Cultural de la Republica - El Cabildo,69616222.43243243,37,0.972972972972973,34,2
Circunscripción Judicial del Dpto. Alto Paraguay,39983916.0,34,0.8529411764705882,16,2
Circunscripción Judicial del Dpto. Alto Parana,458787481.0416667,48,0.3541666666666667,40,0
Circunscripción Judicial del Dpto. Amambay,99507148.48484848,33,0.7878787878787878,25,2
Circunscripción Judicial del Dpto. Caaguazu,84012571.33333333,48,0.7291666666666666,34,2
Circunscripción Judicial del Dpto. Caazapa,175370243.6792453,53,0.5471698113207547,40,0
Circunscripción Judicial del Dpto. Canindeyu,65425018.66037736,53,0.8301886792452831,32,2
Circunscripción Judicial del Dpto. Central,366801489.3773585,53,0.39622641509433965,38,0
Circunscripción Judicial del Dpto. Concepción,81135901.32911393,79,0.8227848101265823,49,2
Circunscripción Judicial del Dpto. Encarnación,428083654.03174603,63,0.5079365079365079,49,0
Circunscripción Judicial del Dpto. Guaira,99484760.8852459,61,0.7540983606557377,47,2
Circunscripción Judicial del Dpto. Misiones,171048548.41379312,29,0.6206896551724138,25,2
Circunscripción Judicial del Dpto. Paraguarí,255846553.325,40,0.55,32,0
Circunscripción Judicial del Dpto. San Pedro,77221672.0,50,0.7,38,2
Circunscripción Judicial del Dpto. Ñeembucu,89454322.94339623,53,0.6037735849056604,36,2
Colegio Experimental Paraguay - Brasil,44319376.325581394,43,1.0,29,2
Comando Logistico Uoc 5,2659941131.992806,278,0.2949640287769784,117,1
Comando de la Armada Uoc 3,796961597.2619047,168,0.5357142857142857,81,1
Comando de la Fuerza Aerea Uoc 4,830244792.513834,253,0.549407114624506,109,1
Comando del Ejercito Uoc 2,734662986.2702702,222,0.45495495495495497,94,1
Comando en Jefe Uoc 1,671917898.75,248,0.5282258064516129,100,1
Comisión Nac. de Prevención contra la Tortura y Otros Tratos,124818787.8888889,27,0.7407407407407407,20,2
Comisión Nacional de Competencia,26474981.695652176,23,1.0,20,2
Comisión Nacional de Telecomunicaciones,2353088138.830769,65,0.3230769230769231,50,0
Comisión Nacional de Valores,96824466.97142857,35,0.7142857142857143,24,2
Compañía Paraguaya de Comunicaciones,1212911549.522388,67,0.1791044776119403,44,0
Congreso Nacional,347026467.890511,137,0.7226277372262774,89,2
Consejo Nacional de Ciencia y Tecnología,402098791.91071427,56,0.6071428571428571,43,2
Consejo Nacional de Educación Superior,342761431.516129,31,0.6129032258064516,29,2
Consejo de la Magistratura,140974607.15789473,57,0.9298245614035088,36,2
Contraloría General de la República,676954172.1509434,53,0.6226415094339622,41,2
Corte Suprema de Justicia,3266885089.970238,168,0.18452380952380953,113,1
Crédito Agrícola de Habilitación,1105293790.67,100,0.39,73,0
Defensoría del Pueblo,492574750.0,4,0.5,4,0
Direccion General de Salud Ambiental,1626647270.487805,41,0.5121951219512195,34,0
Direccion General del Registro del Estado Civil,283948778.4339623,53,0.5660377358490566,41,0
Direccion Nacional de Propiedad Intelectual,202946592.05555555,72,0.625,48,2
Direccion Nacional de Transporte,1209660185.7906976,43,0.3953488372093023,28,0
Dirección Nacional de Aeronáutica Civil,737907545.798122,213,0.4694835680751174,123,1
Dirección Nacional de Contrataciones Públicas,407288974.0673077,104,0.5384615384615384,67,0
Dirección Nacional de Correos del Paraguay,169854730.76923078,13,0.5384615384615384,12,0
"Dirección Nacional de Defensa, Salud y Bienestar Animal",44554488.0,24,0.9583333333333334,18,2
Dirección Nacional de Ingresos Tributarios,2058626129.4264152,265,0.2339622641509434,150,1
Dirección Nacional de Migraciones,246519317.25714287,70,0.44285714285714284,51,0
Dirección de Beneficencia,5377485788.785714,112,0.3392857142857143,66,0
Empresa de Servicios Sanitarios del Paraguay,4075777991.964467,197,0.20812182741116753,111,1
Ente Regulador de Servicios Sanitarios,77182183.57142857,28,0.7857142857142857,19,2
Escribania Mayor de Gobierno,8024000.0,8,1.0,6,2
Fac. de Ing. Agronomica,32825547.391304348,23,1.0,12,2
Facultad Politecnica,155433806.12121212,132,0.696969696969697,79,2
Facultad de Arquitectura,103643945.22891566,83,0.9518072289156626,54,2
Facultad de Ciencias Agrarias,102342501.075,40,0.8,31,2
Facultad de Ciencias Economicas,107790090.78947368,114,0.8771929824561403,81,2
Facultad de Ciencias Exactas y Naturales,244325477.25,40,0.675,34,2
Facultad de Ciencias Medicas,3062478007.374459,462,0.2987012987012987,174,1
Facultad de Ciencias Quimicas,99557400.729927,137,0.7956204379562044,59,2
Facultad de Ciencias Sociales y Politicas,30236391.0,5,0.8,4,2
Facultad de Ciencias Tecnologicas,41377265.2,25,0.92,16,2
Facultad de Ciencias Veterinarias,297833320.7777778,81,0.3333333333333333,64,0
Facultad de Ciencias de la Producción,48054774.29090909,55,0.8181818181818182,30,2
Facultad de Ciencias de la Salud,38037165.047619045,21,0.8095238095238095,15,2
Facultad de Derecho y Ciencias Sociales,81727053.73394495,109,0.8165137614678899,56,2
Facultad de Enfermeria y Obstetricia,13631296.153846154,13,1.0,8,2
Facultad de Filosofia,78814729.390625,64,0.90625,43,2
Facultad de Ingenieria,130976415.07246377,138,0.7246376811594203,79,2
Facultad de Medicina,31647024.647058822,17,0.9411764705882353,11,2
Facultad de Odontologia,65409801.487804875,41,1.0,24,2
Facultad de Odontologia Santo Tomas de Aquino,65401446.777777776,9,0.8888888888888888,6,2
Facultad de enfermería y obstetricia de la Universidad Nacional de Asunción,48059955.03448276,29,0.9310344827586207,24,2
Fondo Ganadero,100031117.78947368,38,0.9210526315789473,35,2
Fondo Nacional de la Cultura y las Artes,41322174.92307692,13,0.9230769230769231,9,2
Fuerzas Militares Uoc 6,309410060.85714287,28,0.9285714285714286,21,2
Gabinete Civil,307533491.8701299,77,0.42857142857142855,48,0
Gabinete Militar,232362353.0,93,0.7204301075268817,62,2
Gobierno Departamental de Alto Paraguay,4379000819.259259,27,0.25925925925925924,17,0
Gobierno Departamental de Alto Paraná,3595780781.312,125,0.16,56,0
Gobierno Departamental de Amambay,3585706914.59375,32,0.15625,16,0
Gobierno Departamental de Boquerón,2128665895.3513513,74,0.40540540540540543,42,0
Gobierno Departamental de Caaguazú,1718832102.1666667,66,0.3787878787878788,34,0
Gobierno Departamental de Caazapá,2421166078.3,50,0.2,15,0
Gobierno Departamental de Canindeyú,1145122637.2201834,109,0.08256880733944955,27,0
Gobierno Departamental de Central,23665764579.732143,56,0.21428571428571427,47,0
Gobierno Departamental de Concepción,1781963003.92,50,0.42,25,0
Gobierno Departamental de Cordillera,1331232691.5833333,108,0.4074074074074074,47,0
Gobierno Departamental de Guairá,1414193952.5526316,38,0.39473684210526316,22,0
Gobierno Departamental de Itapua,1216544683.6577182,149,0.35570469798657717,70,0
Gobierno Departamental de Misiones,6335546110.301587,63,0.42857142857142855,29,0
Gobierno Departamental de Paraguarí,2451637350.37931,58,0.22413793103448276,32,0
Gobierno Departamental de Presidente Hayes,2236760325.3333335,15,0.13333333333333333,13,0
Gobierno Departamental de San Pedro,1182660365.3373494,83,0.46987951807228917,30,0
